id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
9022,Lagos Lagoon,Lekki,Nigeria,,N,6.465907,3.532115,0,1,N
9023,Escravos,Escravos,Nigeria,,N,5.617203,5.187993,0,1,U
9024,Volosovo,Volosovo,Russia,,XUMW,55.0683,37.4517,577,4,N
9025,Bijie Feixiong Airport,Bijie,China,BFJ,ZUBJ,27.267066,105.472097,1448,+08:00,CST
9026,Lensk Airport,Lensk,Russia,ULK,UERL,60.7206001282,114.825996399,244,+09:00,+09
9027,Fairbanks Train Depot,Fairbanks,United States,,N,64.5109,-147.4445,446,-9,A
9028,Denali Train Depot,Denali,United States,,N,63.43083,-150.31111,3733,-9,A
9029,Talkeetna Train Depot,Talkeetna,United States,,N,62.18934,-150.06177,348,-9,A
9030,Anchorage Rail Depot,Anchorage,United States,,N,61.1318,-149.5326,102,-9,A
9031,Whittier Port,Whittier,United States,,N,60.774174,-148.677649,0,-9,A
9032,Qingdao Railway Station,Qingdao,China,,N,36.063497,120.312542,45,8,N
9033,Beijing South Railway Station,Beijing,China,,N,39.5157,116.2235,144,8,N
9034,Shanghai Railway Station,Shanghai,China,,N,31.251552,121.450446,16,8,N
9035,Suzhou Railway Station,Suzhou,China,,N,31.195,120.3623,9,8,N
9036,Biluty,Khamar-Daban,Russia,,N,51.994,102.099,3000,9,N
9037,Shumak,Khamar-Daban,Russia,,N,51.964,101.867,3600,9,N
9038,Shumak,Khamar-Daban,Russia,,N,51.964,101.897,3300,9,N
9039,Kitoi,Khamar-Daban,Russia,,N,52.111,101.986,2000,9,N
9040,Kitoi,Khamar-Daban,Russia,,N,52.111,101.986,2000,9,N
9041,Angasolka,Baikal,Russia,,N,51.758,103.849,1500,9,N
9042,Kavalerovo,Kavalerovo,Russia,,UHWK,44.273,135.029,660,11,N
9043,Iğdır Airport,Iğdır,Turkey,IGD,LTCT,39.9766273499,43.8766479492,945,+03:00,+03
9044,Şanlıurfa GAP Airport,Urfeh,Turkey,GNY,LTCS,37.445663,38.895592,825,+03:00,+03
9045,Zafer Airport,Kutaya,Turkey,KZR,LTBZ,39.113079,30.128111,1014,+03:00,+03
9046,Barentsburg,Barentsburg,Svalbard,,N,78.1006,14.1998,20,1,U
9047,Piramida,Piramida,Svalbard,,N,78.6528,16.3392,20,1,U
